[-0.015625, 0.0625, 1.015625],1430776914.3941
[-0.015625, 0.046875, 1.015625],1430776914.4704
[0.0, 0.0625, 0.984375],1430776914.6042
[-0.015625, 0.046875, 1.0],1430776914.6743
[-0.015625, 0.0625, 1.0],1430776914.8207
[-0.015625, 0.0625, 1.0],1430776914.8833
[-0.015625, 0.0625, 1.015625],1430776914.9534
[-0.015625, 0.0625, 1.015625],1430776915.0936
[0.0, 0.046875, 1.0],1430776915.1700
[-0.015625, 0.0625, 1.015625],1430776915.3043
[-0.015625, 0.046875, 0.984375],1430776915.3745
[-0.015625, 0.046875, 1.0],1430776915.5146
[0.0, 0.0625, 1.0],1430776915.5909
[0.0, 0.046875, 1.0],1430776915.6536
[0.0, 0.046875, 1.0],1430776915.7938
[-0.015625, 0.0625, 1.0],1430776915.8639
[0.0, 0.0625, 0.984375],1430776916.0041
[-0.015625, 0.046875, 1.015625],1430776916.0740
[0.0, 0.0625, 1.015625],1430776916.2142
[-0.015625, 0.0625, 1.0],1430776916.2843
[0.0, 0.0625, 1.015625],1430776916.3544
[0.0, 0.046875, 1.03125],1430776916.4946
[0.0, 0.0625, 1.015625],1430776916.5635
[0.0, 0.0625, 1.0],1430776916.7036
[-0.015625, 0.0625, 1.015625],1430776916.7737
[0.0, 0.0625, 1.0],1430776916.9138
[0.0, 0.0625, 1.0],1430776916.9839
[-0.015625, 0.046875, 1.0],1430776917.0541
[0.0, 0.046875, 1.03125],1430776917.2005
[-0.015625, 0.0625, 1.0],1430776917.2644
[0.0, 0.0625, 1.0],1430776917.4045
[0.0, 0.0625, 1.0],1430776917.4809
[-0.015625, 0.0625, 1.03125],1430776917.6135
[0.0, 0.0625, 1.0],1430776917.6837
[-0.015625, 0.078125, 1.03125],1430776917.7538
[-0.015625, 0.0625, 1.0],1430776917.8939
[0.0, 0.0625, 1.03125],1430776917.9641
[0.0, 0.0625, 1.015625],1430776918.1042
[0.0, 0.0625, 1.015625],1430776918.1806
[0.0, 0.0625, 1.03125],1430776918.3145
[0.0, 0.078125, 1.015625],1430776918.3847
[-0.015625, 0.0625, 1.015625],1430776918.4535
[-0.015625, 0.046875, 1.0],1430776918.5937
[-0.03125, 0.0625, 1.0],1430776918.6638
[0.0, 0.0625, 1.03125],1430776918.8039
[0.0, 0.046875, 1.015625],1430776918.8740
[-0.015625, 0.046875, 1.015625],1430776919.0204
[-0.015625, 0.046875, 1.03125],1430776919.0843
[-0.015625, 0.046875, 1.015625],1430776919.1544
[-0.015625, 0.046875, 1.03125],1430776919.2946
[-0.015625, 0.046875, 1.0],1430776919.3635
[0.0, 0.0625, 1.015625],1430776919.5037
[-0.015625, 0.046875, 0.984375],1430776919.5739
[-0.015625, 0.046875, 1.03125],1430776919.7140
[-0.015625, 0.078125, 0.984375],1430776919.7903
[0.0, 0.0625, 1.0],1430776919.8541
[-0.015625, 0.0625, 1.0],1430776919.9944
[0.0, 0.0625, 1.015625],1430776920.0644
[0.0, 0.046875, 1.0],1430776920.2046
[-0.015625, 0.046875, 1.0],1430776920.2735
[0.0, 0.0625, 1.015625],1430776920.4136
